# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	246674
#@/user_id	b6ca52f1-d1be-4cc2-9d07-aa8b3716d1d6
a 	吖	c=1 d=3.14571e-306 t=246674
cheng shou bu zhu 	承受不住	c=1 d=1 t=228220
cheng shu 	成熟	c=1 d=8.09016e-37 t=246674
cheng tuan 	成團	c=1 d=7.67872e-305 t=246674
cheng wei 	成爲	c=7 d=8.40287e-43 t=246674
cheng wei 	稱爲	c=28 d=3.68199e-36 t=246674
cheng wei ke neng 	成爲可能	c=1 d=8.44499e-42 t=246674
cheng wei le 	成爲了	c=1 d=1 t=212285
cheng xi 	城西	c=1 d=1 t=222770
cheng xian 	呈現	c=1 d=3.72729e-08 t=246674
cheng xu 	程序	c=224 d=0.398204 t=246674
cheng xu bao 	程序包	c=2 d=2.94232e-255 t=246674
cheng xu dai ma 	程序代碼	c=1 d=3.16319e-121 t=246674
cheng xu ji shu qi 	程序計數器	c=2 d=2.15222e-47 t=246674
cheng xu she ji 	程序設計	c=2 d=1.10247e-30 t=246674
cheng xu shi 	程序時	c=1 d=1 t=173184
cheng xu yuan 	程序員	c=7 d=6.89525e-122 t=246674
cheng yi 	诚意	c=1 d=1 t=242792
cheng yi ge 	成一個	c=2 d=1.95511e-64 t=246674
cheng yin 	成因	c=3 d=3.07468e-67 t=246674
cheng yu 	成語	c=1 d=6.08254e-240 t=246674
cheng yuan 	成員	c=46 d=3.91027e-13 t=246674
cheng yuan shi 	成員時	c=1 d=1 t=145690
cheng zai 	承載	c=1 d=1 t=160370
cheng zan 	稱讚	c=2 d=4.43318e-19 t=246674
cheng zhang 	成長	c=2 d=3.01226e-61 t=246674
cheng zhi wei 	稱之爲	c=1 d=2.46463e-24 t=246674
cheng zhong 	稱重	c=1 d=1 t=237599
cheng zhong cun 	城中村	c=1 d=8.65058e-119 t=246674
cheng zi 	橙子	c=1 d=2.86596e-181 t=246674
cheng zuo 	稱作	c=5 d=3.33746e-120 t=246674
chi 	喫	c=67 d=1.02872 t=246674
chi 	持	c=1 d=1.0595e-121 t=246674
chi 	池	c=20 d=9.24917e-16 t=246674
chi 	遲	c=4 d=3.18854e-83 t=246674
chi ba 	喫吧	c=1 d=1 t=237993
chi bang 	翅膀	c=4 d=8.99641e-82 t=246674
chi bao zi 	喫包子	c=1 d=2.36988e-239 t=246674
chi bo 	喫播	c=3 d=0.856415 t=246674
chi bu 	喫不	c=0 d=0.1 t=158068
chi bu dao 	喫不到	c=1 d=2.6233e-199 t=246674
chi bu dei 	喫不得	c=1 d=2.52439e-188 t=246674
chi bu qi 	喫不起	c=2 d=1 t=188921
chi bu wan 	喫不完	c=1 d=1 t=152537
chi bu xia 	喫不下	c=0 d=1.42024e-187 t=246674
chi bu xia qu 	喫不下去	c=1 d=1.42736e-186 t=246674
chi bu xiao 	喫不消	c=0 d=4.18684e-112 t=246674
chi bu xiao le 	喫不消了	c=1 d=4.20782e-111 t=246674
chi chi 	吃吃	c=2 d=2.09872e-46 t=246674
chi chi fan 	吃吃飯	c=1 d=3.82273e-217 t=246674
chi cu 	喫醋	c=3 d=8.74444e-106 t=246674
chi cu chu 	喫醋出	c=1 d=1 t=147484
chi dao 	喫到	c=1 d=1.8007e-243 t=246674
chi dao 	遲到	c=1 d=1 t=166770
chi de 	喫得	c=2 d=5.29738e-26 t=246674
chi dian 	喫點	c=1 d=1.42018e-68 t=246674
chi dian 	赤电	c=1 d=1.4131e-68 t=246674
chi diao 	喫掉	c=1 d=6.93848e-142 t=246674
chi dong xi 	喫東西	c=1 d=1.0834e-60 t=246674
chi duo le 	喫多了	c=1 d=1 t=189724
chi fan 	喫飯	c=53 d=0.161218 t=246674
chi fan bu 	喫飯不	c=1 d=2.8564e-83 t=246674
chi fan le 	喫飯了	c=1 d=1 t=191119
chi fan ma 	喫飯嗎	c=2 d=1.53324e-28 t=246674
chi fan mei 	喫飯沒	c=3 d=3.65083e-289 t=246674
chi fan qie 	喫番茄	c=1 d=1 t=175900
chi ge 	喫個	c=1 d=3.70645e-89 t=246674
chi guo 	喫過	c=0 d=3.90739e-211 t=246674
chi guo yi ci 	喫過一次	c=1 d=3.92698e-210 t=246674
chi hao 	喫好	c=0 d=1.65919e-46 t=246674
chi hao dong xi 	喫好東西	c=1 d=1.66751e-45 t=246674
chi hua 	池化	c=1 d=4.62211e-10 t=246674
chi huo guo 	喫火鍋	c=1 d=1 t=237355
chi ji 	吃吃	c=2 d=9.73226e-64 t=246674
chi ji 	喫雞	c=1 d=9.78104e-64 t=246674
chi jiu 	喫酒	c=1 d=7.32283e-188 t=246674
chi jiu 	持久	c=4 d=2.63581e-109 t=246674
chi jiu ceng she ji 	持久層設計	c=1 d=7.13763e-122 t=246674
chi jiu hua 	持久話	c=1 d=2.64902e-108 t=246674
chi jiu zhan 	持久戰	c=1 d=4.97298e-106 t=246674
chi ku 	喫苦	c=1 d=1 t=216638
chi kui 	喫虧	c=1 d=6.33272e-273 t=246674
chi le 	喫了	c=11 d=0.690734 t=246674
chi ling shi 	喫零食	c=1 d=1 t=144460
chi mei 	魑魅	c=0 d=1.38244e-105 t=246674
chi mei chi 	魑魅池	c=1 d=1.38937e-104 t=246674
chi mian 	喫麪	c=4 d=8.49689e-114 t=246674
chi niu rou 	喫牛肉	c=1 d=1 t=245342
chi pao mian 	喫泡麪	c=1 d=1 t=185651
chi ping guo 	喫蘋果	c=1 d=1.76469e-270 t=246674
chi sha 	喫啥	c=9 d=1.98599e-103 t=246674
chi shi 	喫屎	c=2 d=4.12186e-221 t=246674
chi tu 	齒突	c=1 d=1 t=188630
chi wan 	喫完	c=2 d=0.353455 t=246674
chi wan fan 	喫完飯	c=9 d=0.175868 t=246674
chi wan le 	喫完了	c=1 d=3.39833e-303 t=246674
chi xi 	喫席	c=1 d=7.73687e-188 t=246674
chi xu 	持續	c=4 d=8.90125e-14 t=246674
chi xu dao 	持續到	c=3 d=1 t=246320
chi xu shi jian 	持續時間	c=1 d=2.72764e-11 t=246674
chi xue gao 	遲雪糕	c=1 d=2.07715e-188 t=246674
chi yi dun 	喫一頓	c=2 d=1 t=235605
chi you 	持有	c=6 d=2.11801e-35 t=246674
chi you dui zhong 	持有堆中	c=1 d=1 t=143239
chi you zhe 	持有者	c=1 d=1 t=143687
chi zha ji 	喫炸雞	c=1 d=9.39752e-64 t=246674
chi zhe me 	喫這麼	c=1 d=1 t=189653
chi zhong 	池中	c=0 d=2.78407e-47 t=246674
chi zhu 	喫豬	c=1 d=3.81648e-139 t=246674
chi zi ji 	喫自己	c=1 d=4.73191e-139 t=246674
chong 	充	c=16 d=0.00657159 t=246674
chong 	衝	c=10 d=2.06924e-55 t=246674
chong 	重	c=5 d=2.08868e-18 t=246674
chong bo 	重播	c=2 d=2.52969e-07 t=246674
chong chuan 	重傳	c=31 d=1.64481e-39 t=246674
chong dang 	充當	c=6 d=9.21487e-39 t=246674
chong dao chu 	重導出	c=3 d=2.57106 t=147052
chong de 	充的	c=1 d=1.24278e-57 t=246674
chong deng 	重登	c=4 d=2.52971e-154 t=246674
chong dian 	充電	c=5 d=0.00540733 t=246674
chong dian bao 	充電包	c=1 d=1 t=171741
chong ding xiang 	重定向	c=41 d=0.000577912 t=246674
chong dong 	衝動	c=1 d=1 t=198624
chong fa 	重發	c=0 d=0.1 t=156922
chong fa bu 	重發布	c=36 d=1 t=166181
chong fang 	重放	c=5 d=6.29549e-07 t=246674
chong fen 	充份	c=0 d=5.34248e-156 t=246674
chong fen 	重分	c=1 d=1 t=235967
chong fen fa 	充份發	c=1 d=5.36926e-155 t=246674
chong fu 	重複	c=31 d=1.87953e-12 t=246674
chong fu dai ma 	重複代碼	c=1 d=6.55329e-29 t=246674
chong fu jie shou 	重複接受	c=1 d=1 t=163577
chong ge 	衝個	c=1 d=1.20392e-95 t=246674
chong gou 	重構	c=89 d=0.000101039 t=246674
chong gou le 	重構了	c=4 d=3.46386e-28 t=246674
chong gou yi xia 	重構一下	c=1 d=5.17627e-48 t=246674
chong he 	重合	c=1 d=1.27247e-70 t=246674
chong he du 	重合度	c=2 d=1.86502 t=196901
chong ji 	衝擊	c=1 d=1 t=215668
chong jian 	重建	c=1 d=2.52731e-231 t=246674
chong jing 	憧憬	c=1 d=1 t=239221
chong kai 	重開	c=2 d=1.12509e-63 t=246674
chong lang 	衝浪	c=1 d=7.13225e-25 t=246674
chong le 	充了	c=5 d=0.0108589 t=246674
chong lian 	重連	c=7 d=6.98683e-94 t=246674
chong ming 	重名	c=4 d=5.15613e-151 t=246674
chong ming ming 	重命名	c=9 d=1.11993e-09 t=246674
chong pai 	重排	c=1 d=4.7897e-78 t=246674
chong pai xu 	重排需	c=1 d=4.70781e-79 t=246674
chong qi 	重啓	c=27 d=1 t=246674
chong qian 	充錢	c=17 d=4.67492e-26 t=246674
chong shang 	崇尚	c=2 d=1 t=167548
chong shang dian 	充上電	c=1 d=1.22947e-283 t=246674
chong shi 	重試	c=29 d=2.82558e-08 t=246674
chong shi xun huan 	重試循環	c=1 d=5.74561e-11 t=246674
chong shi you xiao 	重試有效	c=1 d=1.01091e-10 t=246674
chong tu 	衝突	c=25 d=3.4932e-39 t=246674
chong tu yu 	衝突域	c=4 d=4.09121e-197 t=246674
chong xia 	充下	c=1 d=3.95582e-296 t=246674
chong xie 	重寫	c=23 d=1.35381e-05 t=246674
chong xin 	重新	c=98 d=1.37333 t=246674
chong xin ding yue 	重新訂閱	c=1 d=2.40713e-11 t=246674
chong xin jia qiang 	重新加強	c=1 d=1.00931e-197 t=246674
chong yong 	重用	c=7 d=3.30581e-08 t=246674
chong yong xing 	重用性	c=1 d=1 t=146484
chong zai 	重載	c=39 d=2.79574e-07 t=246674
chong zhao 	重找	c=1 d=7.13035e-110 t=246674
chong zheng 	充正	c=3 d=5.42581e-190 t=246674
chong zheng 	衝正	c=1 d=2.04116e-247 t=246674
chong zhi 	充值	c=9 d=5.59649e-35 t=246674
chong zhi 	重置	c=39 d=1.80552e-10 t=246674
chong zhi ka 	充值卡	c=1 d=1 t=185113
chong zhi le 	重置了	c=1 d=4.48496e-273 t=246674
chong zhi lou dong 	重置漏洞	c=1 d=1 t=174591
chong zhi mi ma 	重置密碼	c=1 d=1 t=166734
chong zhuan 	蟲篆	c=1 d=7.26744e-40 t=246674
chong zhuang 	重裝	c=11 d=2.90964e-58 t=246674
chong zi 	蟲子	c=1 d=1 t=159129
chong zu 	充足	c=1 d=1.07008e-179 t=246674
chong zuo 	重做	c=3 d=2.19906e-65 t=246674
chou 	丑	c=4 d=1.61273e-05 t=246674
chou 	抽	c=1 d=3.54614e-158 t=246674
chou 	臭	c=3 d=7.55497e-18 t=246674
chou a 	丑啊	c=1 d=1.25034e-187 t=246674
chou cheng 	抽成	c=2 d=6.42223e-56 t=246674
chou chou 	瞅瞅	c=1 d=1.49656e-96 t=246674
chou chu 	抽搐	c=1 d=1.85491e-239 t=246674
chou feng 	抽風	c=7 d=4.83136e-112 t=246674
chou feng le 	抽風了	c=2 d=4.79199e-111 t=246674
chou jie 	籌借	c=1 d=1 t=193553
chou li 	抽離	c=5 d=7.31363e-73 t=246674
chou nv 	醜女	c=1 d=1 t=186203
chou qu 	抽取	c=4 d=1.94536e-64 t=246674
chou ren 	仇人	c=1 d=3.35259e-85 t=246674
chou shui 	抽水	c=1 d=3.05833e-210 t=246674
chou shui gou 	臭水溝	c=1 d=1 t=236838
chou wan 	抽完	c=0 d=7.41431e-188 t=246674
chou wan shui 	抽完水	c=1 d=7.45148e-187 t=246674
chou xian 	犨县	c=1 d=3.72705e-66 t=246674
chou xiang 	抽象	c=121 d=4.62058e-06 t=246674
chou xiang ceng 	抽象層	c=1 d=9.1649e-122 t=246674
chou xiang cheng 	抽象成	c=1 d=1.6535e-34 t=246674
chou xiang lei 	抽象類	c=7 d=2.36719e-20 t=246674
chou xiang zhuang shi 	抽象裝飾	c=1 d=4.66176e-81 t=246674
chou yan 	抽菸	c=2 d=1.81544e-45 t=246674
chou yang 	抽樣	c=1 d=2.77594e-41 t=246674
chou yun 	臭暈	c=1 d=1 t=177521
chu 	出	c=130 d=0.19024 t=246674
chu 	初	c=4 d=1.3244e-70 t=246674
chu 	處	c=14 d=6.33382e-11 t=246674
chu 	觸	c=0 d=0.1 t=195397
chu 	除	c=21 d=2.27159e-35 t=246674
chu bu 	初步	c=2 d=5.29404e-283 t=246674
chu ce 	出冊	c=2 d=8.79114e-44 t=246674
chu chai 	出差	c=12 d=4.8904 t=198747
chu chu 	出處	c=1 d=2.03665e-221 t=246674
chu chu 	處處	c=1 d=8.80433e-91 t=246674
chu chuang 	初創	c=15 d=1.0931e-06 t=246674
chu ci 	除此	c=4 d=1 t=194489
chu ci zhi wai 	除此之外	c=2 d=1 t=194487
chu cun 	儲存	c=6 d=1.03717e-214 t=246674
chu cuo 	出錯	c=32 d=0.000122794 t=246674
chu cuo shi 	出錯時	c=1 d=1.91021e-26 t=246674
chu er 	初二	c=5 d=1.64823e-114 t=246674
chu fa 	出發	c=14 d=4.77544e-07 t=246674
chu fa 	處罰	c=2 d=1.57941e-171 t=246674
chu fa 	觸發	c=67 d=0.000186888 t=246674
chu fa 	除法	c=2 d=1.69593e-38 t=246674
chu fa dian 	出發點	c=1 d=1.17685e-239 t=246674
chu fa geng xin 	觸發更新	c=2 d=1.99501 t=150180
chu fa le 	觸發了	c=1 d=1 t=163967
chu fa qi 	觸發器	c=5 d=3.18619e-10 t=246674
chu fa yi ge 	觸發一個	c=2 d=1.07342e-10 t=246674
chu fa zheng ge 	觸發整個	c=1 d=3.83349e-15 t=246674
chu fan 	觸犯	c=1 d=1 t=175099
chu fang xiang 	出方向	c=1 d=1 t=159609
chu fei 	除非	c=9 d=3.39072e-12 t=246674
chu gao zhong sheng 	初高中生	c=1 d=1 t=178862
chu gui 	出軌	c=4 d=1.2865 t=215005
chu guo 	出國	c=8 d=3.19102e-05 t=246674
chu guo 	出過	c=1 d=1 t=172371
chu guo ba 	出國吧	c=1 d=6.12215e-140 t=246674
chu guo le 	出國了	c=1 d=5.18353e-182 t=246674
chu huan 	出環	c=3 d=1 t=166152
chu ji 	初級	c=1 d=1 t=183583
chu jie kou 	出接口	c=6 d=1 t=165284
chu ju 	出具	c=5 d=2.76986 t=239052
chu kai 	初開	c=2 d=2.57273e-29 t=246674
chu kai 	除開	c=1 d=6.71832e-145 t=246674
chu kou 	出口	c=7 d=0.00137404 t=246674
chu lai 	出來	c=92 d=0.00151813 t=246674
chu lai de 	出來的	c=1 d=1 t=245246
chu lai le 	出來了	c=1 d=9.81416e-280 t=246674
chu lai wo 	出來我	c=1 d=4.13531e-83 t=246674
chu le 	出了	c=15 d=7.85348e-49 t=246674
chu le 	除了	c=55 d=1.50187e-20 t=246674
chu li 	處理	c=344 d=1.16668 t=246674
chu li biao 	處理表	c=1 d=4.97536e-141 t=246674
chu li cuo wu 	處理錯誤	c=1 d=6.72627e-12 t=246674
chu li de 	處理的	c=1 d=1 t=153992
chu li fang shi 	處理方式	c=0 d=1.28229e-132 t=246674
chu li guo 	處理過	c=1 d=1 t=195986
chu li ji zhi 	處理機制	c=1 d=5.04074e-30 t=246674
chu li jie guo 	處理結果	c=1 d=2.49839e-37 t=246674
chu li jie jue 	處理解決	c=1 d=1 t=197450
chu li qi 	處理器	c=53 d=7.32345e-10 t=246674
chu li shu ju 	處理數據	c=1 d=1.23792e-11 t=246674
chu li su du 	處理速度	c=1 d=2.33028e-41 t=246674
chu li wan 	處理完	c=2 d=1 t=166845
chu li wen ti 	處理問題	c=2 d=1.01804 t=197418
chu lian 	初戀	c=3 d=3.42624e-67 t=246674
chu lie 	出列	c=2 d=1.99501 t=225826
chu lu 	出路	c=1 d=1 t=234161
chu mao bing 	出毛病	c=3 d=1.9193e-43 t=246674
chu men 	出門	c=1 d=2.42827e-55 t=246674
chu mo ban 	觸摸板	c=5 d=1.374e-32 t=246674
chu nv 	處女	c=1 d=3.77428e-214 t=246674
chu qi 	初期	c=3 d=1.55859e-100 t=246674
chu qu 	出去	c=35 d=0.000510561 t=246674
chu qu 	除去	c=1 d=6.07027e-40 t=246674
chu ru 	出入	c=2 d=8.68e-13 t=246674
chu ru zhe ge 	出入這個	c=1 d=8.72351e-12 t=246674
chu san 	初三	c=1 d=2.01199e-166 t=246674
chu se 	出色	c=2 d=2.72282e-49 t=246674
chu shai 	觸篩	c=1 d=1 t=214492
chu shen 	出身	c=2 d=1.84366 t=234057
chu sheng 	出生	c=1 d=2.94662e-184 t=246674
chu sheng 	初生	c=4 d=1.09347e-186 t=246674
chu sheng zai 	出生在	c=1 d=1 t=216500
chu shi 	出世	c=0 d=0.1 t=159138
chu shi 	出示	c=2 d=2.9886e-174 t=246674
chu shi 	初始	c=3 d=3.4137e-122 t=246674
chu shi 	初識	c=3 d=4.05829e-244 t=246674
chu shi du liang 	出世度量	c=1 d=1 t=159139
chu shi hua 	初始化	c=93 d=5.17737e-21 t=246674
chu shi hua shi 	初始化時	c=1 d=6.21296e-78 t=246674
chu shi hui 	初始會	c=1 d=1 t=146796
chu shi kai fa 	初始開發	c=1 d=3.43081e-121 t=246674
chu shi zhi 	初始值	c=6 d=2.73277e-180 t=246674
chu shi zhuang tai 	初始狀態	c=1 d=1 t=177938
chu shou 	出手	c=1 d=9.67659e-261 t=246674
chu shou 	觸手	c=1 d=8.87748e-247 t=246674
chu shu 	除數	c=5 d=1.38608e-265 t=246674
chu tai 	出臺	c=1 d=1 t=199808
chu tou 	出頭	c=1 d=2.16943e-170 t=246674
chu wai 	除外	c=3 d=2.09736e-08 t=246674
chu wang 	出網	c=1 d=1 t=232697
chu wen ti 	出問題	c=8 d=1.14462e-89 t=246674
chu wen ti le 	出問題了	c=1 d=1 t=186601
chu xi 	出席	c=1 d=7.11944e-92 t=246674
chu xi 	除夕	c=1 d=1 t=224334
chu xian 	出現	c=134 d=0.000662463 t=246674
chu xian guo 	出現過	c=3 d=3.80052e-31 t=246674
chu xian le 	出現了	c=1 d=1 t=197715
chu xian lu you hui kui wen ti 	出現路由回饋問題	c=1 d=1 t=159340
chu xian yi chang 	出現異常	c=1 d=2.26352e-287 t=246674
chu xin ji lv 	处心积虑	c=1 d=8.66264e-106 t=246674
chu xing 	雛形	c=1 d=1.0416e-244 t=246674
chu xu yin hang 	儲蓄銀行	c=1 d=6.02626e-72 t=246674
chu xue 	出血	c=1 d=1 t=173620
chu xue 	初學	c=2 d=2.59259e-90 t=246674
chu xue zhe 	初學者	c=7 d=1.99447e-170 t=246674
chu yi ge 	出一個	c=1 d=3.7645e-66 t=246674
chu yin 	初音	c=1 d=1.21955e-276 t=246674
chu yong 	初擁	c=1 d=1 t=203675
chu yu 	出於	c=3 d=1.05798e-16 t=246674
chu yu 	出獄	c=1 d=1.20503e-194 t=246674
chu yu 	處於	c=6 d=1.32169e-46 t=246674
chu zhan 	出戰	c=2 d=3.84395e-47 t=246674
chu zhan 	出棧	c=1 d=2.52637e-256 t=246674
chu zhang 	出賬	c=1 d=1.35135e-248 t=246674
chu zhi 	儲值	c=1 d=6.93067e-70 t=246674
chu zhong 	出衆	c=2 d=2.96842e-65 t=246674
chu zhong 	初中	c=21 d=1.75181e-37 t=246674
chu zhong 	初衷	c=4 d=1.22174e-62 t=246674
chu zhong sheng 	初中生	c=2 d=9.50914e-144 t=246674
chu zi 	出字	c=1 d=1 t=225723
chuai mo 	揣摩	c=1 d=3.63691e-219 t=246674
chuan 	串	c=7 d=1.7325e-83 t=246674
chuan 	傳	c=52 d=4.21553e-15 t=246674
chuan 	川	c=2 d=2.01084e-218 t=246674
chuan 	穿	c=15 d=6.41807e-19 t=246674
chuan bo 	傳播	c=11 d=1.55617e-08 t=246674
chuan bo cuo wu 	傳播錯誤	c=1 d=1 t=148495
chuan can 	傳參	c=5 d=1 t=221493
chuan can 	傳慘	c=1 d=1 t=190787
chuan cheng 	傳承	c=3 d=0.00105751 t=246674
chuan chu qu 	傳出去	c=1 d=1 t=175093
chuan da 	傳達	c=1 d=4.47316e-07 t=246674
chuan da 	川大	c=3 d=1 t=239780
chuan dan 	傳單	c=1 d=1 t=202119
chuan dao 	傳到	c=1 d=1 t=190810
chuan dei 	穿得	c=1 d=2.12351e-183 t=246674
chuan di 	傳遞	c=75 d=2.15381e-11 t=246674
chuan di dao 	傳遞到	c=1 d=1 t=161208
chuan di gei 	傳遞給	c=2 d=1.05393 t=143160
chuan di ta 	傳遞他	c=1 d=1 t=143937
chuan di yi tiao 	傳遞一條	c=1 d=1 t=150055
chuan di zhi 	傳遞值	c=1 d=1 t=143172
chuan dian 	穿點	c=1 d=4.62196e-39 t=246674
chuan dong xi 	傳東西	c=1 d=1 t=176148
chuan gan 	傳感	c=1 d=1 t=175412
chuan gan qi 	傳感器	c=4 d=0.236501 t=246674
chuan gei 	傳給	c=3 d=3.38121e-38 t=246674
chuan guo 	穿過	c=1 d=1 t=233256
chuan guo lai 	傳過來	c=1 d=1 t=160957
chuan hua 	傳化	c=1 d=2.83992e-15 t=246674
chuan hui 	傳回	c=2 d=1 t=163368
chuan hui 	穿回	c=1 d=4.19451e-15 t=246674
chuan jian 	船艦	c=1 d=3.53868e-191 t=246674
chuan jin qu 	傳進去	c=2 d=2.7349e-101 t=246674
chuan kou 	串口	c=1 d=1 t=153430
chuan lai 	傳來	c=1 d=1 t=189875
chuan ni 	穿你	c=1 d=1.35867e-194 t=246674
chuan qi lai 	穿起來	c=1 d=1 t=226119
chuan ru 	傳入	c=20 d=1.86984e-10 t=246674
chuan san 	穿三	c=1 d=1.29241e-194 t=246674
chuan shang qu 	傳上去	c=0 d=0.1 t=219718
chuan sheng 	串生	c=1 d=1.76072e-126 t=246674
chuan shu 	傳輸	c=43 d=4.03772e-08 t=246674
chuan shu ceng 	傳輸層	c=8 d=1.15965e-39 t=246674
chuan shu ceng xie yi 	傳輸層協議	c=1 d=1.01857e-40 t=246674
chuan shu fang shi 	傳輸方式	c=3 d=4.57024e-39 t=246674
chuan shu ji zhi 	傳輸機制	c=1 d=1.17164e-40 t=246674
chuan shu kong zhi 	傳輸控制	c=1 d=1.02368e-40 t=246674
chuan shu xiao lv 	傳輸效率	c=1 d=1 t=154012
chuan shu xie yi 	傳輸協議	c=1 d=1.1257e-40 t=246674
chuan shuo 	傳說	c=1 d=3.20203e-162 t=246674
chuan song 	傳送	c=2 d=1.5322e-20 t=246674
chuan song dai 	傳送帶	c=4 d=2.50627e-15 t=246674
chuan tong 	傳統	c=7 d=3.96654e-34 t=246674
chuan tou 	穿透	c=21 d=1.55731e-14 t=246674
chuan xian 	串線	c=3 d=1.76388 t=153415
chuan xiao xie 	穿小鞋	c=1 d=7.88543e-294 t=246674
chuan xie 	穿鞋	c=1 d=1.93304e-195 t=246674
chuan xing 	串行	c=5 d=6.71581e-198 t=246674
chuan yan 	傳言	c=1 d=2.49536e-199 t=246674
chuan yi fu 	穿衣服	c=0 d=7.73474e-127 t=246674
chuan yue 	穿越	c=5 d=1 t=237812
chuan zheng 	遄征	c=1 d=1 t=242651
chuan zong 	川總	c=1 d=1 t=178584
chuang 	創	c=5 d=4.08594e-30 t=246674
chuang 	牀	c=4 d=1.41271e-06 t=246674
chuang ban 	創辦	c=1 d=1 t=242279
chuang ge 	創個	c=1 d=1.20224e-108 t=246674
chuang guan 	闖關	c=4 d=1 t=225740
chuang hu 	窗戶	c=1 d=1.86433e-181 t=246674
chuang jian 	創建	c=257 d=0.000452659 t=246674
chuang jian biao 	創建表	c=1 d=1.00161e-254 t=246674
chuang jian gong cheng 	創建工程	c=1 d=1.74172e-116 t=246674
chuang jian le 	創建了	c=1 d=1 t=152288
chuang jian shi jian 	創建時間	c=1 d=1.14361e-108 t=246674
chuang jian wen jian 	創建文件	c=1 d=1 t=166355
chuang jian yi ge 	創建一個	c=1 d=1 t=146517
chuang jian zhe 	創建者	c=1 d=1.14934e-108 t=246674
chuang kou 	窗口	c=37 d=1.40034e-05 t=246674
chuang kou da xiao 	窗口大小	c=1 d=1 t=163660
chuang kou zhi hou 	窗口之後	c=1 d=1 t=163853
chuang kou zhong 	窗口中	c=1 d=1 t=163840
chuang li 	創立	c=2 d=3.64547e-31 t=246674
chuang shang 	牀上	c=4 d=7.81589e-43 t=246674
chuang she 	創設	c=1 d=1 t=239626
chuang shi 	創世	c=1 d=1 t=184664
chuang shi ren 	創始人	c=3 d=5.48403e-51 t=246674
chuang xia 	牀下	c=1 d=1 t=186551
chuang xin 	創新	c=13 d=0.000114282 t=246674
chuang xin chuang ye 	創新創業	c=1 d=1 t=228580
chuang ye 	創業	c=5 d=1 t=244722
chuang yi 	創意	c=1 d=1 t=162558
chuang yu 	創宇	c=5 d=1 t=239109
chuang zao 	創造	c=6 d=4.87167e-11 t=246674
chuang zao le 	創造了	c=2 d=1.94649 t=191760
chuang zao xing 	創造性	c=1 d=8.8337e-42 t=246674
chuang zi 	窗子	c=1 d=1.38674e-258 t=246674
chuang zuo 	創作	c=2 d=5.85532e-57 t=246674
chui 	吹	c=16 d=3.96742e-07 t=246674
chui cheng 	垂成	c=1 d=4.18653e-22 t=246674
chui di 	吹笛	c=1 d=6.77228e-239 t=246674
chui feng ji 	吹風機	c=1 d=0.000186888 t=246674
chui guo 	吹過	c=1 d=0.1 t=243154
chui guo le 	吹過了	c=1 d=1 t=243155
chui le 	吹了	c=1 d=1 t=241421
chui niu 	吹牛	c=4 d=1.04795e-51 t=246674
chui shui 	吹水	c=2 d=1.40668e-132 t=246674
chui xiang 	吹響	c=1 d=1 t=191998
chui yi chui 	吹一吹	c=1 d=3.25849e-103 t=246674
chui zhi 	垂直	c=2 d=1.93239 t=220875
chui zi 	錘子	c=2 d=9.40392e-72 t=246674
chun 	春	c=2 d=0.216138 t=246674
chun 	淳	c=1 d=1 t=215615
chun 	純	c=12 d=5.36173e-21 t=246674
chun 	蠢	c=3 d=1.01742e-179 t=246674
chun chun 	純純	c=2 d=1 t=226256
chun cui 	純粹	c=1 d=0.0208584 t=246674
chun cun 	春村	c=1 d=0.0207543 t=246674
chun du 	純度	c=5 d=1.02341e-125 t=246674
chun hua 	春花	c=1 d=9.09653e-34 t=246674
chun jie 	春節	c=2 d=0.00744658 t=246674
chun jing 	純淨	c=6 d=9.01982e-52 t=246674
chun jing ban 	純淨版	c=1 d=1 t=175646
chun qing 	純情	c=2 d=1.40205e-152 t=246674
chun sheng 	純生	c=1 d=1.68852e-104 t=246674
chun shi 	蠢事	c=1 d=7.31566e-294 t=246674
chun yu 	脣語	c=1 d=4.08016e-219 t=246674
chun zhen 	純真	c=1 d=3.63594e-304 t=246674
chuo 	戳	c=3 d=6.56584e-169 t=246674
chuo hao 	綽號	c=1 d=2.44205e-239 t=246674
chuo jin 	戳進	c=1 d=1.20024e-59 t=246674
ci 	刺	c=1 d=2.72406e-260 t=246674
ci 	次	c=46 d=1.97113e-13 t=246674
ci 	此	c=156 d=0.205192 t=246674
ci 	詞	c=22 d=0.758191 t=246674
ci ban ben 	次版本	c=2 d=7.60928e-121 t=246674
ci bao 	此包	c=1 d=2.22509e-27 t=246674
ci bu fen 	此部分	c=5 d=4.79735e-36 t=246674
ci ce shi 	此測試	c=1 d=4.52138e-133 t=246674
ci chu 	此處	c=23 d=4.2909e-09 t=246674
ci chu bu neng 	此處不能	c=1 d=7.32859e-256 t=246674
ci ci 	次次	c=1 d=1.35226e-109 t=246674
ci ci 	此次	c=4 d=2.36374e-91 t=246674
ci dai ma 	此代碼	c=2 d=3.09553e-115 t=246674
ci dian 	詞典	c=4 d=5.76324e-10 t=246674
ci duan 	此段	c=1 d=2.53566e-211 t=246674
ci dui xiang 	此對象	c=1 d=7.14707e-20 t=246674
ci en 	慈恩	c=0 d=0.1 t=177365
